Time Start: 6/6/2014 9:14:08 AM
SET_CNTRL_REC 623UU                AR_14        DST_CODE_TBL    UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_TRN_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_UAR_V2 UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_UAR_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        DST_CODE_URL_VW UNUNI
SET_CNTRL_REC 623UU                AR_14        RMA_DST_CODE_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        ADJ_REASON_OPT  UNUNI
SET_CNTRL_REC 623UU                AR_15        AR_PP_DTL_VW    UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENTRY_TBL  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENTRY_VW   UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENTRY_VW1  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENT_CC_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENT_DR2_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENT_DR_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENT_MT2_VW UNUNI

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AR_15        AUTO_ENT_MT_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENT_PY2_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_ENT_PY_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_LINES_TBL  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_REASN_VW   UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_REASON_TBL UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_CFO_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_CR_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_CS_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_DR_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_MN2_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_MT_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_PY2_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_PY_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_WAO_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_WAU_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        AUTO_RSN_WO_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENTRSNCV_LNG UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENTRSNDV_LNG UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENTRSN_CR2VW UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENTRSN_DB2VW UNUNI

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AR_15        BI_ENT_RSN_ALVW UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENT_RSN_CRVW UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENT_RSN_DBVW UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENT_TYP_ALVW UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENT_TYP_CRVW UNUNI
SET_CNTRL_REC 623UU                AR_15        BI_ENT_TYP_DBVW UNUNI
SET_CNTRL_REC 623UU                AR_15        DED_RSN_CFO_VW  UNUNI
SET_CNTRL_REC 623UU                AR_15        DELINQ_TBL      UNUNI
SET_CNTRL_REC 623UU                AR_15        DR_ENTRTYP_X_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        ENTITY_TBL      UNUNI
SET_CNTRL_REC 623UU                AR_15        ENTRY_REASN_LG  UNUNI
SET_CNTRL_REC 623UU                AR_15        ENTRY_REASN_TBL UNUNI
SET_CNTRL_REC 623UU                AR_15        ENTRY_RSN_DESC  UNUNI
SET_CNTRL_REC 623UU                AR_15        ENTRY_TYPE_TBL  UNUNI
SET_CNTRL_REC 623UU                AR_15        ENTRY_TYPRSN_VW UNUNI
SET_CNTRL_REC 623UU                AR_15        ENTRY_TY_TBL_LG UNUNI
SET_CNTRL_REC 623UU                AR_15        ITEM_ENTRY_TBL  UNUNI
SET_CNTRL_REC 623UU                AR_15        ITEM_ENTRY_VW   UNUNI
SET_CNTRL_REC 623UU                AR_15        ITEM_ENTRY_VW1  UNUNI
SET_CNTRL_REC 623UU                AR_15        ITEM_LINES_TBL  UNUNI
SET_CNTRL_REC 623UU                AR_15        ITEM_LNS_PUB_VW UNUNI

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AR_15        ITEM_REASON_TBL UNUNI
SET_CNTRL_REC 623UU                AR_15        REC_TYPE_TBL    UNUNI
SET_CNTRL_REC 623UU                AR_15        TRN_ENTRY_VW    UNUNI
SET_CNTRL_REC 623UU                AR_15        UN_ENTRY_REASN  UNUNI
SET_CNTRL_REC 623UU                AR_15        WOBYCF_RSN_VW   UNUNI
SET_CNTRL_REC 623UU                AR_16        OC_ADMIN_VW     UNUNI
SET_CNTRL_REC 623UU                AR_16        OC_FIN_VW       UNUNI
SET_CNTRL_REC 623UU                AR_16        OC_PNLTY_VW     UNUNI
SET_CNTRL_REC 623UU                AR_16        OVERDUE_CHG_LG  UNUNI
